isqno,war,name,date_start,date_end,duration,attacker,defender,winner,locn
157,Guerra entre Estados Unidos y México,PALO ALTO,1846-05-08 14:30:00,1846-05-08 19:30:00,0 days 05:00:00,EE. UU.,México,attacker,Texas
158,Guerra entre Estados Unidos y México,RESACA DE LA PALMA,1846-05-09 16:00:00,1846-05-09 17:30:00,0 days 01:30:00,EE. UU.,México,attacker,Texas
159,Guerra entre Estados Unidos y México,BUENA VISTA,1847-02-22 15:00:00,1847-02-23 18:45:00,1 days 03:45:00,México,EE. UU.,defender,México
160,Guerra entre Estados Unidos y México,CERRO GORDO,1847-04-17 12:00:00,1847-04-18 12:00:00,1 days 00:00:00,EE. UU.,México,attacker,México
161,Guerra entre Estados Unidos y México,CONTRERAS,1847-08-20 05:45:00,1847-08-20 06:02:00,0 days 00:17:00,EE. UU.,México,attacker,México
162,Guerra entre Estados Unidos y México,CHURUBUSCO,1847-08-20 08:00:00,1847-08-20 15:30:00,0 days 07:30:00,EE. UU.,México,attacker,México
163,Guerra entre Estados Unidos y México,MOLINO DEL REY,1847-09-08 05:00:00,1847-09-08 07:00:00,0 days 02:00:00,EE. UU.,México,attacker,México
164,Guerra entre Estados Unidos y México,CHAPULTEPEC,1847-09-13 05:50:00,1847-09-13 18:50:00,0 days 13:00:00,EE. UU.,México,attacker,México
165,Guerra de Crimea,THE ALMA,1854-09-20 14:30:00,1854-09-20 17:30:00,0 days 03:00:00,Gran Bretaña,Rusia,attacker,Crimea
166,Guerra de Crimea,INKERMAN,1854-11-05 05:45:00,1854-11-05 13:00:00,0 days 07:15:00,Rusia,Gran Bretaña,defender,Crimea
167,Guerra de Austria con Francia y Piamonte,MAGENTA,1859-06-04 10:30:00,1859-06-04 19:30:00,0 days 09:00:00,Francia,Austria,attacker,Lombardía
168,Guerra de Austria con Francia y Piamonte,SOLFERINO,1859-06-24 07:00:00,1859-06-24 18:30:00,0 days 11:30:00,Francia,Austria,attacker,Lombardía
169,Guerra Austro-Prusiana (de las Siete Semanas),SADOWA (KOENIGGRATZ),1866-07-03 09:00:00,1866-07-03 17:00:00,0 days 08:00:00,Prusia,Austria,attacker,Austria
170,Guerra Austro-Italiana,CUSTOZZA II,1866-06-24 08:00:00,1866-06-24 17:00:00,0 days 09:00:00,Italia,Austria,defender,Véneto
171,Guerra Civil Americana,FIRST BULL RUN (MANASSAS),1861-07-21 09:00:00,1861-07-21 16:00:00,0 days 07:00:00,EE. UU.,Confederación,defender,Virginia
172,Guerra Civil Americana,WILSON'S CREEK,1861-08-10 05:30:00,1861-08-10 11:30:00,0 days 06:00:00,EE. UU.,Confederación,defender,Misuri
173,Guerra Civil Americana,BELMONT,1861-11-07 10:30:00,1861-11-07 16:50:00,0 days 06:20:00,EE. UU.,Confederación,attacker,Misuri
174,Guerra Civil Americana,MILL SPRINGS,1862-01-19 05:30:00,1862-01-19 16:00:00,0 days 10:30:00,Confederación,EE. UU.,defender,Kentucky
175,Guerra Civil Americana,FORT DONELSON,1862-02-15 05:50:00,1862-02-15 15:30:00,0 days 09:40:00,Confederación,EE. UU.,defender,Tennessee
176,Guerra Civil Americana,PEA RIDGE,1862-03-07 10:30:00,1862-03-08 11:30:00,1 days 01:00:00,Confederación,EE. UU.,defender,Misuri
177,Guerra Civil Americana,KERNSTOWN,1862-03-23 06:00:00,1862-03-23 18:00:00,0 days 12:00:00,Confederación,EE. UU.,defender,Virginia
178,Guerra Civil Americana,SHILOH,1862-04-06 05:00:00,1862-04-07 16:00:00,1 days 11:00:00,Confederación,EE. UU.,defender,Tennessee
179,Guerra Civil Americana,FRONT ROYAL,1862-05-23 14:00:00,1862-05-23 17:30:00,0 days 03:30:00,Confederación,EE. UU.,attacker,Virginia
180,Guerra Civil Americana,FIRST WINCHESTER,1862-05-25 06:00:00,1862-05-25 07:30:00,0 days 01:30:00,Confederación,EE. UU.,attacker,Virginia
181,Guerra Civil Americana,CROSS KEYS,1862-06-08 09:00:00,1862-06-08 12:00:00,0 days 03:00:00,EE. UU.,Confederación,defender,Virginia
182,Guerra Civil Americana,PORT REPUBLIC,1862-06-09 07:00:00,1862-06-09 11:00:00,0 days 04:00:00,Confederación,EE. UU.,attacker,Virginia
183,Guerra Civil Americana,SEVEN PINES (FAIR OAKS),1862-05-31 13:00:00,1862-06-01 13:30:00,1 days 00:30:00,Confederación,EE. UU.,defender,Virginia
184,Guerra Civil Americana,MECHANICSVILLE,1862-06-26 15:00:00,1862-06-26 21:00:00,0 days 06:00:00,Confederación,EE. UU.,defender,Virginia
185,Guerra Civil Americana,GAINES'S MILL,1862-06-27 12:30:00,1862-06-27 21:00:00,0 days 08:30:00,Confederación,EE. UU.,defender,Virginia
186,Guerra Civil Americana,GLENDALE-FRAYSER'S FARM,1862-06-29 09:00:00,1862-06-30 21:00:00,1 days 12:00:00,Confederación,EE. UU.,defender,Virginia
187,Guerra Civil Americana,MALVERN HILL,1862-07-01 15:00:00,1862-07-01 20:30:00,0 days 05:30:00,Confederación,EE. UU.,defender,Virginia
188,Guerra Civil Americana,CEDAR MOUNTAIN,1862-08-09 15:00:00,1862-08-09 21:30:00,0 days 06:30:00,EE. UU.,Confederación,defender,Virginia
